id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
44077,cosy comfortable Irish cottage twin,193005,Teresa,,Dn Laoghaire-Rathdown,53.29178,-6.25792,Private room,76,3,380,2025-06-01,2.19,2,42,39,
85156,Cosy Comfortable Irish Cottage  1 Double Bed,193005,Teresa,,Dn Laoghaire-Rathdown,53.29209,-6.25624,Private room,91,3,343,2025-06-01,2.00,2,54,40,
159889,Friendly Single Room,766611,Marie,,Dublin City,53.39027,-6.23547,Private room,45,2,450,2025-06-10,2.79,3,291,17,
162809,5.5 miles south of Dublin City :^),777681,Robbie,,Dn Laoghaire-Rathdown,53.28326,-6.19188,Private room,,2,393,2025-06-09,3.22,2,5,5,
165828,Pádraig Pearse apt. Kilmainham,790601,Timothy,,Dublin City,53.33744,-6.32363,Entire home/apt,256,3,84,2025-05-25,0.51,4,328,8,
165829,"The ""Michael Collins"" apartment",790601,Timothy,,Dublin City,53.33744,-6.32363,Entire home/apt,228,3,85,2025-01-21,0.52,4,141,3,
237465,Cozy 1 bed apt 10 mins to airport. total privacy,1245198,Amanda,,Dublin City,53.39558,-6.17524,Entire home/apt,74,1,581,2025-06-09,3.54,3,99,63,
245903,Single cosy bedroom in Lucan.,1289720,Sheila,,South Dublin,53.34596,-6.41719,Private room,30,30,49,2025-05-24,0.31,1,5,3,
266654,small & cosy room for short stays,1398274,Joanne,,Dublin City,53.39091,-6.29406,Private room,34,3,71,2023-05-23,0.46,1,17,0,
274969,Penthouse 2 Bed / 2 Bath in Historic Quarter,1269285,Andrew,,Dublin City,53.34415,-6.31578,Entire home/apt,151,4,2,2012-09-03,0.01,1,49,0,
292757,Old World Converted Stables with Swimming Pool.,1515549,Sarah,,Dublin City,53.36949,-6.34889,Entire home/apt,130,2,490,2025-06-07,3.15,1,152,43,
302554,Peaceful retreat for 5 - excellent location,1557844,Liam And Fiona,,Dublin City,53.35681,-6.29094,Entire home/apt,197,2,78,2025-06-02,0.48,8,246,3,
302634,Studio sleeps 2 city ctr 10 mins - Molly Malone,1557844,Liam And Fiona,,Dublin City,53.35681,-6.29094,Entire home/apt,105,2,178,2025-05-29,1.10,8,181,31,
333950,Best location in Dublin City Centre,1607393,Daragh,,Dublin City,53.341997210593505,-6.27368487417698,Private room,98,2,298,2025-06-09,1.86,2,6,16,
365854,Perfect Dublin | Residence・Romantic・Business,1847391,Diane,,Dublin City,53.35314,-6.25652,Entire home/apt,187,3,196,2025-05-13,1.22,1,204,8,
374792,"'Grace Gifford' cottage, Kilmainham",790601,Timothy,,Dublin City,53.33744,-6.32363,Entire home/apt,239,3,37,2025-03-19,0.23,4,128,1,
380174,★Seaside Modern ★ Walk Everywhere | Luxury Complex,1907867,Beth,,Dn Laoghaire-Rathdown,53.29521,-6.13692,Entire home/apt,180,13,12,2025-05-31,0.10,1,25,1,
419987,Stunning Victorian apartment slps 6 - James Joyce,1557844,Liam And Fiona,,Dublin City,53.35682,-6.29132,Entire home/apt,224,2,178,2025-03-31,1.16,8,249,8,
424596,Very Special Oval Georgian Studio,2110301,Karin,,Dublin City,53.355545,-6.258094,Entire home/apt,148,2,665,2025-05-24,4.20,4,117,40,
426326,Large room with double & single Bed,766611,Marie,,Dublin City,53.39027,-6.23547,Private room,125,1,267,2024-08-18,1.69,3,20,3,
427077,Unique Oval Georgian Studio Gr. Fl.,2110301,Karin,,Dublin City,53.35572,-6.25803,Entire home/apt,157,2,617,2025-05-28,3.86,4,147,36,
427495,Lovely attic room with double bed,766611,Marie,,Dublin City,53.39027,-6.23547,Private room,110,1,188,2024-09-01,1.21,3,337,2,
451611,Best location balcony St Patrick's view,1607393,Daragh,,Dublin City,53.3404,-6.27256,Entire home/apt,157,3,652,2025-06-07,4.11,2,125,56,
468082,"A little bit of country in the city, Fairy House",2115318,Siobhan,,South Dublin,53.35336,-6.44968,Private room,135,1,414,2025-06-08,2.66,3,295,42,
522667,"Interesting, Spacious Georgian Flat",2110301,Karin,,Dublin City,53.355545,-6.258094,Entire home/apt,148,2,543,2025-05-28,3.44,4,138,29,
526767,Designer Apt in the heart of Dublin,2340296,Dardo,,Dublin City,53.34752,-6.26393,Entire home/apt,180,2,700,2025-06-12,4.50,1,235,43,
587218,sunny double room in victorian home,2895736,James And Tom,,Dublin City,53.36405,-6.27351,Private room,90,2,320,2025-05-29,2.06,1,171,46,
592840,"Fairy House ,A little bit of country in the city",2115318,Siobhan,,South Dublin,53.35338,-6.44994,Private room,74,1,126,2025-06-05,0.81,3,335,30,
631270,Ringsend near city centre cosy room double bed,3125619,Freda,,Dublin City,53.34095,-6.23277,Private room,111,3,66,2025-05-09,0.61,2,78,10,
654589,City Centre Apartment | Temple Bar | Dublin Castle,3244025,Garrett,,Dublin City,53.34493,-6.26688,Entire home/apt,200,1,671,2025-06-02,4.31,2,120,36,
690119,Extensively Modernised Georgian House near Everything,3525420,Sarah,,Dn Laoghaire-Rathdown,53.29448,-6.24686,Entire home/apt,365,4,251,2025-05-31,1.72,1,102,18,
715205,Gracepark Guesthouse 1,3683952,Roy,,Dublin City,53.368837598173094,-6.249314785003654,Private room,,1,245,2025-05-29,1.59,3,329,136,
726011,Sunset Crag - Beautiful Apartment,3755932,Valerie,,Fingal,53.58175,-6.1226,Entire home/apt,146,2,227,2025-05-02,1.59,1,243,14,
726075,Chestnut view- 4* Rating Close to airport and city,3756388,Mary,,Dublin City,53.36973,-6.25788,Entire home/apt,125,21,4,2024-08-30,0.03,1,29,1,
736751,Gracepark Guesthouse 2,3683952,Roy,,Dublin City,53.36786925614428,-6.250431447766409,Private room,,1,113,2024-09-30,0.73,3,0,24,
736773,Gracepark Guesthouse 3,3683952,Roy,,Dublin City,53.37029,-6.25113,Private room,,1,79,2024-09-30,0.52,3,0,9,
742656,Camden Central. Dublin at your door,3888023,Daragh,,Dublin City,53.33387,-6.26429,Private room,70,2,495,2025-05-28,3.58,2,38,38,
869956,Bright double room in independent house near UCD,4584609,Silvia,,Dn Laoghaire-Rathdown,53.30456,-6.20356,Private room,,7,13,2024-12-13,0.09,3,0,2,
871174,Three single beds,4592908,Louise,,Dublin City,53.3678,-6.20609,Private room,62,1,363,2025-06-09,2.43,3,70,34,
872539,Contemporary Victorian cottage,4603565,Aida,,Dublin City,53.35789,-6.23813,Entire home/apt,298,3,164,2025-05-28,1.10,1,302,9,
998407,self contained cozy tot private near city & airpor,1245198,Amanda,,Dublin City,53.39622,-6.1756,Entire home/apt,64,1,350,2025-06-08,2.71,3,95,31,
999963,"City living with garden, park, canal, luas",5497230,Sarah And Johnny,,Dublin City,53.36193,-6.27423,Entire home/apt,405,7,11,2023-08-08,0.08,1,3,0,
1086416,"Cosy, self-contained, 1-bed space.",5971713,Eileen,,Dublin City,53.35846,-6.27528,Entire home/apt,136,3,297,2025-05-26,2.02,1,16,26,
1173029,Great house in vibrant Stoneybatter,3448346,Ian,,Dublin City,53.35107,-6.27992,Entire home/apt,320,3,505,2025-06-08,4.15,1,159,68,
1207950,Large 5 Star Prime South Dublin House,6593571,Dave & Ann,,Dn Laoghaire-Rathdown,53.28341,-6.24498,Entire home/apt,390,5,102,2025-06-02,0.71,1,65,10,
1255270,No1 friendly family home,6837751,Siobhan,,South Dublin,53.33883,-6.433,Private room,36,7,22,2024-10-01,0.15,2,257,3,
1270261,Old Country house,474328,James,,Fingal,53.5668,-6.31556,Private room,50,1,13,2023-08-13,0.10,1,316,0,
1299470,Large Georgian House @ Malahide Beach,6287304,Jonathan,,Fingal,53.44352,-6.13357,Entire home/apt,585,3,8,2025-05-31,1.33,1,281,8,
1364560,"Cosy double in Eclectic Arty home, near Guinness",6977448,Stephen,,Dublin City,53.33677,-6.28899,Private room,100,2,171,2025-05-25,1.19,2,9,12,
1407832,Near the sea Dublin family house,5818278,Therese,,Dn Laoghaire-Rathdown,53.29832,-6.17191,Entire home/apt,444,6,65,2024-08-10,0.45,1,30,1,
1466234,Single room,5940448,Elva,,Dublin City,53.32894,-6.30413,Private room,56,4,229,2025-06-08,1.59,1,140,30,
1478255,Country Cottage in the city,7910820,Michael,,Dublin City,53.343592510553115,-6.221619842327872,Entire home/apt,238,2,33,2025-06-09,2.19,1,312,24,
1510400,Spacious and Contemporary House,8066896,Ken,,Dublin City,53.32956,-6.32588,Entire home/apt,,100,8,2023-06-23,0.06,1,90,0,
1559929,Stephen's Green 1838 Villa - single,3745350,Natasha,,Dublin City,53.33514,-6.26772,Private room,85,2,66,2023-05-08,0.47,2,5,0,
1596451,"Stunning architectural home, sleeps 8, Dublin.",6219661,Sonya,,Dublin City,53.36205,-6.2442,Entire home/apt,1000,3,18,2025-03-18,0.13,1,347,1,
1600779,Stephen's Green 1838 Villa - double,3745350,Natasha,,Dublin City,53.33511,-6.26875,Private room,110,2,79,2025-05-11,0.57,2,55,3,
1711261,Kilmainham Lane Terrace,1390012,Andy,,Dublin City,53.34432,-6.29733,Entire home/apt,,7,15,2024-05-20,0.16,1,0,0,
1729959,Kim's House,9115187,Kim,,Dn Laoghaire-Rathdown,53.3065,-6.24719,Entire home/apt,215,5,8,2024-07-12,0.06,2,71,1,
1906221,"Great double room,Dublin",9084049,Jose&Vadym,,Dublin City,53.33688,-6.29419,Private room,138,2,602,2025-04-01,4.29,3,126,16,
1929739,Shared room in Dublin,9084049,Jose&Vadym,,Dublin City,53.33697,-6.29251,Shared room,,1,83,2022-10-21,0.59,3,0,0,
1943366,Exquisitely restored Victorian Flat - WB Yeats,1557844,Liam And Fiona,,Dublin City,53.35691,-6.29164,Entire home/apt,224,2,165,2025-06-10,1.22,8,269,9,
1963074,Private room with own entrance,10124896,Robyn,,Dublin City,53.39105,-6.27775,Private room,125,1,782,2025-06-11,5.91,1,33,63,
2026810,1 single cosy room in Ranelagh,6782586,Mary,,Dublin City,53.32338,-6.25333,Private room,58,3,384,2025-05-23,2.80,2,286,25,
2164444,Historic Oasis - Heart Of Dublin,11013512,Benjamin,,Dublin City,53.32889,-6.25116,Private room,91,2,567,2025-06-02,4.11,2,10,36,
2215722,Clontarf Dublin 3,11294447,Jim,,Dublin City,53.37106,-6.19743,Private room,,1,0,,,1,0,0,
2241137,A home away from home,4009786,Denise,,Dn Laoghaire-Rathdown,53.27925,-6.13324,Private room,97,1,20,2025-06-08,0.99,4,354,14,
